m1,m2,dt,dtheta,strength_ratio,label
GW,Gamma,-35.336443787498865,0.36980077001539524,1.5334204619135416,1
GW,Gamma,41.91500262870977,5.338569844428034,1.5594994708151695,1
GW,Gamma,33.016746257577324,1.4266451757066692,1.173899093481394,1
GW,Gamma,-154.09541277040262,13.13215797220735,2.132867119246385,0
GW,Gamma,-38.235451200533134,15.283459021511211,1.0556991575833707,0
GW,Gamma,188.87349972396623,10.149536917480278,0.5907407730915206,0
GW,Gamma,-16.84434494568268,0.051428536605994,1.1819090166704915,1
GW,Gamma,287.79653248388786,11.592407835977793,1.0872438749781859,0
GW,Gamma,-23.13860671268776,4.758336176518947,3.0503914432811547,1
GW,Gamma,282.7932386548491,16.88958127673572,1.5154518593844089,0
GW,Gamma,-224.57897453320766,7.393997119068655,1.7692521841003135,0
GW,Gamma,-292.97898636275204,14.39378986937262,1.7129281615928118,0
GW,Gamma,-62.8957382843364,5.104457478100351,1.2181655395020903,1
GW,Gamma,22.806149409210775,2.180755664746406,0.9650437798900671,1
GW,Gamma,-271.1033772358787,19.259033100846043,0.7670150782429229,0
GW,Gamma,-41.39491609550896,1.5123866728954998,1.1240982838068037,1
GW,Gamma,81.99635003926232,6.822418729826104,0.9017227693900989,0
GW,Gamma,-57.90029953446356,11.004069001581307,1.3031093542119252,0
GW,Gamma,-73.87680038028338,8.64907951093671,1.0030018007702346,0
GW,Gamma,150.48241216142196,11.133484353543802,2.4921810089764986,0
GW,Gamma,227.71805674606003,19.061095480419134,1.2171733089715062,0
GW,Gamma,-20.49100556728081,2.041365019934002,0.9366851407729578,1
GW,Gamma,-293.3662429099204,9.618917236130118,1.0211406425660559,0
GW,Gamma,175.76814321649726,4.273467129511598,0.7920090315597816,0
GW,Gamma,-133.26290823030286,12.572216908607501,1.2188946459450778,0
GW,Gamma,247.918395093875,12.70008290156986,1.488924789136049,0
GW,Gamma,-267.2639030878199,13.811353810005365,1.8326479288715611,0
GW,Gamma,128.00805094465613,19.918561374486902,2.2510923959780054,0
GW,Gamma,-11.50580198901298,6.377496985010967,1.0609710707350255,1
GW,Gamma,179.15115911360772,7.667657647823579,1.3831879179314965,0
GW,Gamma,-289.7047976736794,19.659963851477755,0.9937827092904001,0
GW,Gamma,-112.2988149933517,17.490119115471458,0.8805948261531058,0
GW,Gamma,-210.1368009365542,8.171341734578663,0.5412286879861661,0
GW,Gamma,-85.26889019908003,18.500289499741974,1.1269822063722783,0
GW,Gamma,2.7419724059450346,1.1588951541286419,2.441508968321653,1
GW,Gamma,110.45755220039473,4.2519398702456135,1.2739982288953178,0
GW,Gamma,-153.73717767058406,8.926913790178787,1.4637768549141248,0
GW,Gamma,-10.362707091204356,4.711894829373448,1.2199043281796995,1
GW,Gamma,237.7902949033887,10.323243330803967,1.2532371777246356,0
GW,Gamma,141.60057225899072,19.052793836718788,3.4129548455721928,0
GW,Gamma,-223.9957336181542,10.359311934884513,1.0607791474996628,0
GW,Gamma,14.910968394033262,9.84253366668528,1.140675329421738,0
