source_id,base_time,base_ra,base_dec
SRC_0000000,226521.86387888485,94.21404614492614,8.278898410036453
SRC_0000001,574992.0125167173,88.91236766591993,37.65204970262529
SRC_0000002,442709.9360075378,326.2516489875732,31.353843677588
SRC_0000003,362068.65124236775,89.83663194582219,-43.804526354190294
SRC_0000004,94360.07373958561,97.90190140630716,-44.54755870002221
SRC_0000005,94345.48589933536,273.38337447046695,-27.622969077147577
SRC_0000006,35128.96863932703,161.9063432821944,-16.131960455015317
SRC_0000007,523863.3329646808,279.6158005038652,-10.549727793729131
SRC_0000008,363554.3591022927,23.531816723178686,21.06301078598444
SRC_0000009,428242.29505104834,175.52562972241836,-62.453913753915664
SRC_0000010,12449.50215010132,12.100896065981747,-68.53708478012
SRC_0000011,586601.4785875742,22.555153243927627,-12.484698442472828
SRC_0000012,503461.3091560951,326.31748320398793,23.224031345122096
SRC_0000013,128422.69413822141,50.12833360233426,-37.81611832408457
SRC_0000014,109967.74016685445,191.67144561907816,16.439871385899288
SRC_0000015,110923.04755935677,147.99441693625437,-28.707853582353913
SRC_0000016,184005.7085419284,125.04359745318337,50.549354837372235
SRC_0000017,317372.68985117745,323.94000444741806,52.31465184008483
SRC_0000018,261240.3472747516,7.85642283917622,-23.917799637130695
SRC_0000019,176135.38399177574,238.96428702321208,-32.684489239803895
SRC_0000020,370048.63072809513,346.82199631687814,-10.217891137368815
SRC_0000021,84365.8869223549,201.6605460462631,-31.26096311784001
SRC_0000022,176689.08343409994,337.2560863319131,20.167615141544502
SRC_0000023,221575.64282402475,18.812836542968554,40.7023402319947
SRC_0000024,275831.12645446334,150.7655948666981,20.254104279142098
SRC_0000025,474874.4214504946,93.65680474633842,40.44372634804363
SRC_0000026,120762.70344937597,263.0955473930627,-11.888962188803552
SRC_0000027,311008.9883525523,353.26695257900883,-43.4219695333595
SRC_0000028,358292.3312477633,92.3508224799292,28.418088562733974
SRC_0000029,28093.209613054623,235.5028565306668,-16.203572983063978
SRC_0000030,367443.12642998993,71.31514779350644,20.03180101342294
SRC_0000031,103132.99000607392,203.51889164577958,-27.304033883092195
SRC_0000032,39343.20343749705,167.01569520780103,-56.881330753381285
SRC_0000033,573885.972930816,349.92191866735334,80.11810026166818
SRC_0000034,584014.2536034934,219.06981817072796,-43.440189067761935
SRC_0000035,488918.7161408357,125.82229395125476,77.6453636757096
SRC_0000036,184230.4075960546,41.07448255965601,72.66132749464641
SRC_0000037,59072.09455106097,54.44885834457644,35.98944515612648
SRC_0000038,413824.1344345525,81.11409478244464,18.59314562627762
SRC_0000039,266204.2282137109,90.34799808250727,8.952413795061434
SRC_0000040,73808.72443412224,306.2217808228096,47.07140628247471
SRC_0000041,299482.9952352962,202.04020378170898,-24.90537841970081
SRC_0000042,20798.177570484084,188.42072809477193,-3.7060439605652826
SRC_0000043,549956.9791772474,41.31679387291829,13.814542551478189
SRC_0000044,156510.13287169024,309.6502896057966,-10.231106709468365
SRC_0000045,400693.4775772883,260.2131491550541,-8.338848018871108
SRC_0000046,188522.85881887574,24.360610284000572,-19.842190910219777
SRC_0000047,314537.13920833997,254.82063500271673,7.380820580016531
SRC_0000048,330650.3769468155,195.67375824335258,44.51926577779664
SRC_0000049,111799.97470183876,29.421124468840173,-36.65128588391809
SRC_0000050,586404.782872005,164.98823095031634,60.32713658528968
SRC_0000051,468800.33156880207,174.4906633668169,22.220702716949884
SRC_0000052,568208.9598580216,59.67883445877927,40.281720389549676
SRC_0000053,541191.581538642,340.45133292010166,6.452610280264689
SRC_0000054,361609.9071849443,305.9911337330383,33.98897743603607
SRC_0000055,557549.5373419811,240.848041438479,-75.37502563326288
SRC_0000056,53520.26524100091,166.42640196021858,39.55070607457427
SRC_0000057,118530.43519109902,148.23559497042305,-66.8855151484331
SRC_0000058,27353.464333093423,234.3504481743435,51.24471578155788
SRC_0000059,196759.78404562228,196.35547298648598,79.7129720654528
SRC_0000060,235072.0248041987,22.418318117478822,-24.32204990182599
SRC_0000061,164111.89441685224,184.5009535573194,-35.405744002788225
SRC_0000062,501220.44553508685,290.30530220382224,32.0545700507968
SRC_0000063,215764.4119842828,165.3263559349049,-29.600359234769417
SRC_0000064,169909.19145892787,18.70436791953663,46.980770239369626
